num_rephrases,samples_per_rephrase,oracle_nrmse,improvement_percent
1,1,0.1603390303764664,-0.21189398529150236
1,2,0.14130218929586325,11.686131690085473
1,4,0.12666522365277375,20.83423521701641
1,8,0.055742333231842266,65.16104173009857
1,16,0.05130270563791955,67.93580897630028
1,32,0.04938558052677827,69.13401217076358
1,64,0.04782734688461738,70.10790819711414
1,128,0.04643403512258712,70.97872804838306
2,1,0.13858897921116284,13.381887993023229
2,2,0.12329264975444483,22.94209390347198
2,4,0.11098607717093063,30.633701768168354
2,8,0.049275771568875824,69.20264276945261
2,16,0.04553648565117936,71.5396964680129
2,32,0.04431501361317202,72.30311649176748
2,64,0.04268344571168216,73.32284643019865
2,128,0.041207836158997015,74.24510240062688
4,1,0.1204957902157559,24.69013111515256
4,2,0.10561786758856542,33.98883275714661
4,4,0.09467232407124185,40.82979745547385
4,8,0.0427712424674828,73.26797345782325
4,16,0.03885404768047152,75.7162201997053
4,32,0.0372298273390788,76.73135791307575
4,64,0.03597957603105135,77.5127649805929
4,128,0.03468072341580327,78.32454786512295
8,1,0.10531546139604514,34.177836627471784
8,2,0.09183788437021523,42.60132226861548
8,4,0.08022594395685306,49.858785026966835
8,8,0.03464027809705168,78.34982618934269
8,16,0.03136082802311047,80.39948248555596
8,32,0.030845130584392196,80.72179338475487
8,64,0.029242078214672795,81.7237011158295
8,128,0.02700272359190389,83.12329775506007
16,1,0.0919721794971851,42.517387814259315
16,2,0.07935814378093344,50.4011601369166
16,4,0.06993926090421514,56.287961934865535
16,8,0.0312799046441723,80.45005959739233
16,16,0.02912925297955238,81.79421688777977
16,32,0.0280042890937772,82.49731931638925
16,64,0.025998152177409445,83.75115488911909
16,128,0.02584802878363142,83.84498201023035
32,1,0.08070449270707433,49.55969205807854
32,2,0.07228534086630459,54.82166195855963
32,4,0.0642512246609487,59.842984586907065
32,8,0.026305867836249074,83.55883260234432
32,16,0.025618162278222646,83.98864857611085
32,32,0.02362587177745048,85.23383013909344
32,64,0.02390152108201699,85.06154932373938
32,128,0.021932191513015748,86.29238030436514
64,1,0.0737676267130893,53.89523330431919
64,2,0.06582479425358795,58.85950359150753
64,4,0.05941463791262198,62.86585130461126
64,8,0.025408295714653212,84.11981517834174
64,16,0.023418875229249167,85.36320298171928
64,32,0.022483782505904392,85.94763593380976
64,64,0.021606836237445425,86.49572735159661
64,128,0.02086920607540844,86.95674620286972
